Time,Channel A
(ms),(V)

-5.00323577,-∞
-5.00195577,-∞
-5.00067577,-∞
-4.99939577,-∞
-4.99811577,-∞
-4.99683577,-∞
-4.99555577,-∞
-4.99427577,-∞
-4.99299577,-∞
-4.99171577,-∞
-4.99043577,-∞
-4.98915577,-∞
-4.98787577,-∞
-4.98659577,-∞
-4.98531577,-∞
-4.98403577,-∞
-4.98275577,-∞
-4.98147577,-∞
-4.98019577,-∞
-4.97891577,-∞
-4.97763577,-∞
-4.97635577,-∞
-4.97507577,-∞
-4.97379577,-∞
-4.97251577,-∞
-4.97123577,-∞
-4.96995577,-∞
-4.96867577,-∞
-4.96739577,-∞
-4.96611577,-∞
-4.96483577,-∞
-4.96355577,-∞
-4.96227577,-∞
-4.96099577,-∞
-4.95971577,-∞
-4.95843577,-∞
-4.95715577,-∞
-4.95587577,-∞
-4.95459577,-∞
-4.95331577,-∞
-4.95203577,-∞
-4.95075577,-∞
-4.94947577,-∞
-4.94819577,-∞
-4.94691577,-∞
-4.94563577,-∞
-4.94435577,-∞
-4.94307577,-∞
-4.94179577,-∞
-4.94051577,-∞
-4.93923577,-∞
-4.93795577,-∞
-4.93667577,-∞
-4.93539577,-∞
-4.93411577,-∞
-4.93283577,-∞
-4.93155577,-∞
-4.93027577,-∞
-4.92899577,-∞
-4.92771577,-∞
-4.92643577,-∞
-4.92515577,-∞
-4.92387577,-∞
-4.92259577,-∞
-4.92131577,-∞
-4.92003577,-∞
-4.91875577,-∞
-4.91747577,-∞
-4.91619577,-∞
-4.91491577,-∞
-4.91363577,-∞
-4.91235577,-∞
-4.91107577,-∞
-4.90979577,-∞
-4.90851577,-∞
-4.90723577,-∞
-4.90595577,-∞
-4.90467577,-∞
-4.90339577,-∞
-4.90211577,-∞
-4.90083577,-∞
-4.89955577,-∞
-4.89827577,-∞
-4.89699577,-∞
-4.89571577,-∞
-4.89443577,-∞
-4.89315577,-∞
-4.89187577,-∞
-4.89059577,-∞
-4.88931577,-∞
-4.88803577,-∞
-4.88675577,-∞
-4.88547577,-∞
-4.88419577,-∞
-4.88291577,-∞
-4.88163577,-∞
-4.88035577,-∞
-4.87907577,-∞
-4.87779577,-∞
-4.87651577,-∞
-4.87523577,-∞
-4.87395577,-∞
-4.87267577,-∞
-4.87139577,-∞
-4.87011577,-∞
-4.86883577,-∞
-4.86755577,-∞
-4.86627577,-∞
-4.86499577,-∞
-4.86371577,-∞
-4.86243577,-∞
-4.86115577,-∞
-4.85987577,-∞
-4.85859577,-∞
-4.85731577,-∞
-4.85603577,-∞
-4.85475577,-∞
-4.85347577,-∞
-4.85219577,-∞
-4.85091577,-∞
-4.84963577,-∞
-4.84835577,-∞
-4.84707577,-∞
-4.84579577,-∞
-4.84451577,-∞
-4.84323577,-∞
-4.84195577,-∞
-4.84067577,-∞
-4.83939577,-∞
-4.83811577,-∞
-4.83683577,-∞
-4.83555577,-∞
-4.83427577,-∞
-4.83299577,-∞
-4.83171577,-∞
-4.83043577,-∞
-4.82915577,-∞
-4.82787577,-∞
-4.82659577,-∞
-4.82531577,-∞
