Time,Channel A
(ms),(V)

-5.00328513,2.94137383
-5.00200513,3.03048801
-5.00072513,2.94137383
-4.99944513,2.94137383
-4.99816513,2.94137383
-4.99688513,2.94137383
-4.99560513,2.94137383
-4.99432513,2.94137383
-4.99304513,2.94137383
-4.99176513,2.94137383
-4.99048513,2.94137383
-4.98920513,2.94137383
-4.98792513,2.94137383
-4.98664513,2.94137383
-4.98536513,2.94137383
-4.98408513,2.94137383
-4.98280513,2.94137383
-4.98152513,2.94137383
-4.98024513,3.03048801
-4.97896513,2.94137383
-4.97768513,3.03048801
-4.97640513,3.03048801
-4.97512513,3.03048801
-4.97384513,3.03048801
-4.97256513,3.03048801
-4.97128513,2.94137383
-4.97000513,2.94137383
-4.96872513,2.94137383
-4.96744513,2.94137383
-4.96616513,2.94137383
-4.96488513,2.94137383
-4.96360513,2.94137383
-4.96232513,2.94137383
-4.96104513,2.94137383
-4.95976513,3.03048801
-4.95848513,2.94137383
-4.95720513,3.03048801
-4.95592513,2.94137383
-4.95464513,2.94137383
-4.95336513,2.94137383
-4.95208513,2.94137383
-4.95080513,2.94137383
-4.94952513,2.94137383
-4.94824513,2.94137383
-4.94696513,2.94137383
-4.94568513,2.94137383
-4.94440513,2.94137383
-4.94312513,2.94137383
-4.94184513,3.03048801
-4.94056513,2.94137383
-4.93928513,3.03048801
-4.93800513,2.94137383
-4.93672513,3.03048801
-4.93544513,3.03048801
-4.93416513,2.94137383
-4.93288513,2.94137383
-4.93160513,2.94137383
-4.93032513,2.94137383
-4.92904513,2.94137383
-4.92776513,2.94137383
-4.92648513,2.94137383
-4.92520513,2.94137383
-4.92392513,2.94137383
-4.92264513,2.94137383
-4.92136513,3.03048801
-4.92008513,2.94137383
-4.91880513,2.94137383
-4.91752513,2.94137383
-4.91624513,2.94137383
-4.91496513,2.94137383
-4.91368513,2.94137383
-4.91240513,2.94137383
-4.91112513,2.94137383
-4.90984513,2.94137383
-4.90856513,2.94137383
-4.90728513,2.94137383
-4.90600513,2.94137383
-4.90472513,2.94137383
-4.90344513,2.94137383
-4.90216513,2.94137383
-4.90088513,2.94137383
-4.89960513,2.94137383
-4.89832513,2.94137383
-4.89704513,2.94137383
-4.89576513,2.94137383
-4.89448513,2.94137383
-4.89320513,2.94137383
-4.89192513,2.94137383
-4.89064513,2.94137383
-4.88936513,2.94137383
-4.88808513,2.94137383
-4.88680513,2.94137383
-4.88552513,2.94137383
-4.88424513,2.94137383
-4.88296513,2.94137383
-4.88168513,2.94137383
-4.88040513,2.94137383
-4.87912513,2.94137383
-4.87784513,2.94137383
-4.87656513,2.94137383
-4.87528513,2.94137383
-4.87400513,2.94137383
-4.87272513,2.94137383
-4.87144513,2.94137383
-4.87016513,2.94137383
-4.86888513,2.94137383
-4.86760513,2.94137383
-4.86632513,2.94137383
-4.86504513,2.94137383
-4.86376513,2.94137383
-4.86248513,3.03048801
-4.86120513,2.94137383
-4.85992513,2.94137383
-4.85864513,2.94137383
-4.85736513,2.94137383
-4.85608513,2.94137383
-4.85480513,2.94137383
-4.85352513,2.94137383
